Date and Time of initial call,Date and time of Ranger response,borough,property,location,batch_geocode_descrip,Latitude,Longitude,loc_acc,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311SR_Number,final_ranger_action,number_animals,PEP_Response,Animal_Monitored,Rehabilitator,Hours_spent_monitoring,Police_Response,ESU_Response,ACC_Intake_Number,
03/22/2019 03:45:00 PM,03/22/2019 04:30:00 PM,Manhattan,Central Park,"Ravine, South West of Lasker Rink",,40.7953,-73.956231,latlng_provided,Coyote,Central,Native,N/A,1,Adult,Coyotes,1-1-1698111982,Unfounded,1,false,false,,,false,false,,
05/01/2019 04:30:00 PM,05/01/2019 05:00:00 PM,Manhattan,Central Park,On Central Park East Drive across from Lasker Rink,,40.796889,-73.954878,latlng_provided,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
11/13/2018 10:00:00 AM,11/13/2018 12:00:00 PM,Manhattan,Central Park,Harlem Meer,,40.79606,-73.951827,latlng_provided,Cormorant,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Adult,Birds,,Unfounded,1,false,false,,,false,false,,
01/30/2019 02:11:00 AM,01/30/2019 02:40:00 PM,Manhattan,Central Park,Harlem Meer ,,40.796582,-73.950043,latlng_provided,Canada Goose,Central,Native,Healthy,0.5,Adult,Birds,1-1-1676708422,Relocated/Condition Corrected,1,false,false,,,false,false,,
11/02/2018 02:30:00 PM,11/02/2018 03:00:00 PM,Manhattan,Randall's Island Park,Field 84 and East River ,,40.784057,-73.935578,latlng_provided,Herring Gull,Employee,Native,Injured,2,Juvenile,Birds,1-1-1638725200,Rehabilitator,1,true,false,Wild Bird Fund,,false,false,,
05/08/2019 02:00:00 PM,05/08/2019 03:00:00 PM,Manhattan,Fort Tryon Park,Billings Lawn,,40.86022,-73.934497,latlng_provided,Raccoon,Employee,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,,
12/14/2018 09:15:00 AM,12/14/2018 09:15:00 AM,Brooklyn,Marine Park,,,40.603415,-73.933397,latlng_provided,Squirrel,Observed by Ranger,Native,DOA,0.25,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
12/11/2018 12:50:00 PM,12/11/2018 01:00:00 PM,Brooklyn,Marine Park,,,40.603415,-73.933397,latlng_provided,Squirrel,Public,Native,DOA,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
02/05/2019 09:15:00 AM,02/05/2019 10:00:00 AM,Manhattan,Randall's Island Park,"Harlem River Pathway, near Water's Edge Garden",,40.788705,-73.932745,latlng_provided,Opossum,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-non RVS,1-1-1674831801,ACC,1,false,false,,,false,false,54198,
02/09/2019 01:00:00 PM,02/09/2019 01:10:00 PM,Manhattan,Ft Tryon Park,Inside park on lawn at base of a tree. Outside cross streets West 196th & Broadway,,40.860778,-73.930917,latlng_provided,Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1680782134,ACC,1,false,false,,,false,false,54451,
05/14/2019 02:30:00 PM,05/14/2019 02:30:00 PM,Brooklyn,Marine Park,Salt Marsh Nature Trail near park entrance,,40.603795,-73.93002,latlng_provided,Raccoon,Observed by Ranger,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1714290707,ACC,1,false,false,,,false,false,62804,
11/18/2018 11:45:00 AM,11/18/2018 11:50:00 AM,Brooklyn,Marine Park,Under the bridge to Salt Marsh Nature Trail,,40.6037317,-73.9289003,latlng_provided,Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1644145382,ACC,1,false,false,,,false,false,47549,
12/26/2018 11:00:00 AM,12/26/2018 12:00:00 PM,Brooklyn,Marine Park,Burnett St. and Avenue X,,40.5979068,-73.9280698,latlng_provided,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1657709862,ACC,1,false,false,,,false,false,64768,
04/18/2019 08:00:00 AM,04/18/2019 09:30:00 AM,Manhattan,Inwood Hill Park,cross streets: Beak St and Payson Ave.,,40.867995,-73.927794,latlng_provided,Raccoon,Public,Native,DOA,1.5,Adult,Small Mammals-RVS,1-1-1709864080,ACC,1,false,false,,,false,false,60330,
12/30/2018 11:00:00 AM,12/30/2018 11:10:00 AM,Brooklyn,Marine Park,Handball Court at Lenape Playground,,40.606045,-73.9274791,latlng_provided,Raccoon,Public,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1662288470,ACC,1,false,false,,,false,false,65198,
11/04/2018 10:00:00 AM,11/04/2018 10:00:00 AM,Brooklyn,Marine Park,Path between Lenape Playground and Salt Marsh Nature Trail,"also seen at 40.6046690, -73.9259877",40.60481,-73.9264313,latlng_provided,Muskrat,Public,Native,DOA,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,2,false,false,,,false,false,,
02/21/2019 04:30:00 PM,02/21/2019 04:30:00 PM,Manhattan,Inwood Hill Park,"In the Clove section of the park, south of the Rock Formations (AKA Indian Caves) East side of Blue trail underneath a large downed tree.",,40.870932,-73.92564,latlng_provided,Raccoon,Public,Native,DOA,1,Adult,Small Mammals-RVS,1-1-1686093041,ACC,1,false,false,,,false,false,55405,
02/28/2019 02:00:00 PM,02/28/2019 02:30:00 PM,Manhattan,Inwood Hill Park,"In the Clove section of the park, east of the Rock Formations (AKA Indian Caves) East side of Blue trail, on top of the Shell Midden",,40.872589,-73.924204,latlng_provided,Raccoon,Observed by Ranger,Native,DOA,2.5,Adult,Small Mammals-RVS,1-1-1687457360,ACC,1,false,false,,,false,false,55993,
02/21/2019 04:00:00 PM,02/21/2019 04:00:00 PM,Manhattan,Inwood Hill Park,"In the Clove section of park, about 100 feet from Shorakapok Rock where the Orange trail diverges from the Blue. Was found next to the downed tree that bears the orange trail blaze",,40.873394,-73.924184,latlng_provided,Raccoon,Public,Native,DOA,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
02/26/2019 12:30:00 PM,02/26/2019 12:30:00 PM,Manhattan,Inwood Hill Park,On the uphill trail to the west of Shorakappock Rock ,,40.873702,-73.923892,latlng_provided,Raccoon,Observed by Ranger,Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1687601020,ACC,1,false,false,,,false,false,55845,
02/27/2019 11:50:00 AM,02/27/2019 12:00:00 PM,Manhattan,Inwood Hill Park,North west of the 9A overpass,,40.8770216,-73.9237783,latlng_provided,Raccoon,Public,Native,DOA,2,Adult,Small Mammals-RVS,1-1-1-685603550,Relocated/Condition Corrected,1,false,false,,,false,false,,
04/01/2019 02:00:00 PM,04/01/2019 12:00:00 AM,Manhattan,Inwood Hill Park,"Northernmost corner of Gaelic Field, largest black willow tree, within a cavity 12 feet off ground",,40.874167,-73.922667,latlng_provided,Raccoon,Public,Native,DOA,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,,
